Feature_Combination,Num_Features,LogLik_Original_Copula,LogLik_Refit_Copula,LogLik_Drop_Original,LogLik_Drop_Refit,LogLik_Drop_vs_OriginalCombo
entropy_steps+resting_heart+calories,3,0.03386196622698491,0.13659255211576296,3.0447260392966524,4.065089757666458,1.0203637183698056
entropy_heart+norm_heart+age+calories,4,0.034043897894483366,0.07183032204207526,3.044544107629154,4.129851987740146,1.0853078801109919
sd_norm_heart+steps_times_distance+resting_heart+age,4,0.03408672195740678,0.26549332882061494,3.044501283566231,3.936188980961606,0.8916876973953753
entropy_steps+heart_rate+weight+distance,4,0.034356720872608826,0.083177984211221,3.0442312846510284,4.118504325571,1.0742730409199717
sd_norm_heart+steps_times_distance+resting_heart,3,0.03505976222091245,0.2308878473529267,3.043528243302725,3.9707944624292946,0.9272662191265697
intensity_karvonen+age+calories,3,0.035292996713361384,0.012540746387823773,3.043295008810276,4.189141563394397,1.145846554584121
norm_heart+entropy_steps+steps+calories,4,0.0357736391728572,0.14413546727625093,3.0428143663507803,4.05754684250597,1.01473247615519
entropy_heart+norm_heart+resting_heart,3,0.035883078075228614,0.12941674607326778,3.042704927448409,4.072265563708953,1.0295606362605443
entropy_heart+norm_heart+resting_heart+age,4,0.03591344035458455,0.1449172715910533,3.0426745651690528,4.056765038191168,1.0140904730221152
entropy_steps+heart_rate+age+distance,4,0.035921681557445455,0.08780952956497139,3.042666323966192,4.11387278021725,1.0712064562510575
intensity_karvonen+steps+weight+calories,4,0.03649343771172675,0.12338718219718242,3.042094567811911,4.078295127585038,1.0362005597731274
intensity_karvonen+resting_heart+steps+calories,4,0.03668890969571287,0.15499086375233623,3.0418990958279246,4.046691446029885,1.0047923502019604
intensity_karvonen+height+distance,3,0.03687430776087782,0.003298848162803303,3.0417136977627597,4.198383461619418,1.1566697638566583
heart_rate+steps+weight+calories,4,0.037191772967026915,0.09811599448830219,3.0413962325566106,4.103566315293919,1.0621700827373082
sd_norm_heart+steps_times_distance+resting_heart+weight,4,0.03744991063005978,0.2654728934925463,3.0411380948935776,3.9362094162896746,0.895071321396097
entropy_heart+heart_rate+age+calories,4,0.03769681816808426,0.0865299827605225,3.040891187355553,4.115152327021699,1.0742611396661457
norm_heart+steps_times_distance+entropy_steps+height,4,0.0379528411132149,0.21982021099125637,3.0406351644104226,3.9818620987909648,0.9412269343805422
intensity_karvonen+steps_times_distance+entropy_steps+height,4,0.038320477787526286,0.2211452305734054,3.0402675277361113,3.9805370792088155,0.9402695514727042
intensity_karvonen+age+distance,3,0.03837294133448168,0.020847694205271966,3.0402150641891557,4.180834615576949,1.1406195513877937
entropy_steps+heart_rate+steps+calories,4,0.03849257948640952,0.12576799002939515,3.0400954260372277,4.075914319752826,1.0358188937155983
sd_norm_heart+steps_times_distance+heart_rate+height,4,0.03911509624694712,0.23163808868510513,3.0394729092766903,3.970044221097116,0.9305713118204255
sd_norm_heart+resting_heart+steps+weight,4,0.03925984530335716,0.192363891222939,3.0393281602202804,4.009318418559282,0.9699902583390014
entropy_heart+norm_heart+resting_heart+weight,4,0.0394061505564498,0.14181546315187044,3.039181854967188,4.059866846630351,1.0206849916631633
heart_rate+height+calories,3,0.03969066777596514,0.005997049522531278,3.0388973377476725,4.1956852602596895,1.156787922512017
norm_heart+weight+calories,3,0.03991328522588668,0.012896185512803162,3.0386747202977507,4.188786124269418,1.1501114039716676
norm_heart+resting_heart+steps+distance,4,0.03995907776784202,0.1798788105781086,3.0386289277557954,4.021803499204113,0.9831745714483175
entropy_heart+norm_heart+height+distance,4,0.04005042755433599,0.11823837149945557,3.0385375779693016,4.083443938282765,1.0449063603134636
entropy_heart+norm_heart+distance,3,0.040401100271105064,0.11584039965082388,3.0381869052525325,4.085841910131397,1.0476550048788646
entropy_heart+norm_heart+age+distance,4,0.040451731553318715,0.1347841030320429,3.0381362739703186,4.066898206750178,1.0287619327798594
intensity_karvonen+weight+age+distance,4,0.04068211502008337,0.028009432459409355,3.037905890503554,4.173672877322812,1.1357669868192577
intensity_karvonen+steps_times_distance+entropy_steps+resting_heart,4,0.04075054405451957,0.3280001590731447,3.0378374614691177,3.8736821507090764,0.8358446892399587
intensity_karvonen+entropy_steps+height+resting_heart,4,0.040796933124061824,0.09192154201556393,3.0377910723995756,4.109760767766657,1.0719696953670814
intensity_karvonen+distance,2,0.041191322448321424,0.0007045093723311262,3.037396683075316,4.20097780040989,1.1635811173345743
intensity_karvonen+entropy_steps+steps+calories,4,0.04136459540696846,0.1555342193248516,3.037223410116669,4.046148090457369,1.0089246803407002
intensity_karvonen+weight+distance,3,0.0415667816616375,0.007254858494342139,3.037021223862,4.194427451287879,1.1574062274258794
entropy_heart+norm_heart+weight+distance,4,0.04159665588388197,0.1227925810843021,3.0369913496397554,4.078889728697919,1.0418983790581637
entropy_steps+resting_heart+weight+calories,4,0.041693640609148416,0.1488781406710453,3.036894364914489,4.052804169111176,1.0159098041966867
entropy_steps+heart_rate+height+distance,4,0.042011744566586295,0.08638404619438846,3.0365762609570512,4.115298263587833,1.0787220026307813
heart_rate+weight+age+calories,4,0.04210340820902332,0.01219739301422998,3.036484597314614,4.1894849167679915,1.1530003194533776
entropy_heart+norm_heart+calories,3,0.042293143976545766,0.05612848685238668,3.0362948615470917,4.145553822929834,1.1092589613827424
intensity_karvonen+height+calories,3,0.04259348184352574,0.004588084680039498,3.035994523680112,4.197094225102181,1.1610997014220694
heart_rate+calories,2,0.04321813520167136,2.6002470644437068e-05,3.0353698703219663,4.201656307311577,1.1662864369896107
norm_heart+entropy_steps+resting_heart,3,0.043637080361450184,0.09117942227611298,3.034950925162187,4.110502887506108,1.075551962343921
